,importance,feature
2095,0.015280167594413707,v50_v119_v48
1517,0.015264922012743227,v22_v47_v62_v38
1705,0.015250114736878774,v121v114
2078,0.015195233674260638,v50_v12_v130
2261,0.01518994963238464,v50_v17_v111
1646,0.015141135161207986,v61v14
2060,0.015043276562948531,v50_v119_v12
866,0.015014054335164418,v22_v72_v56_v30
2138,0.014967627392463498,v50_v85_v130
2016,0.014905306544429148,v50_v10_v36
760,0.014862808868520148,v22_v110_v107_v75
1966,0.014831480471388065,v55v130
2167,0.01482238981251277,v50_v85_v17
1649,0.014804289341266185,v130v14
1698,0.014777667735470798,v17v114
2044,0.014762743552792383,v50_v36_v111
261,0.014757463260522945,v22_v110_v47
1614,0.014708778862475649,v93v10
25,0.014681839170858649,v121
99,0.01467060023280364,v107v31
1956,0.014670451820353708,v33v44
2397,0.014662341325942012,v50_v114_v101
1729,0.014612061033457639,v121v21
2320,0.014603743215849823,v50_v4_v61
1963,0.014571557520843865,v111v44
2392,0.014510737189024705,v50_v114_v65
1982,0.014487015228343144,v83v55
1831,0.014443586593834568,v55v12
2355,0.014414259066478828,v50_v106_v65
2338,0.0143935706643416,v50_v14_v48
2113,0.014337934359988872,v50_v119_v17
1658,0.014335787661946741,v65v14
2288,0.014310812007468365,v50_v61_v55
1834,0.014279774149598256,v121v12
1033,0.014243698087721182,v22_v79_v24_v52
7,0.014229375571662541,v119
2070,0.014206001490881897,v50_v34_v51
1795,0.014126783464901028,v121v123
1757,0.014029025588131634,v123v119
1694,0.013999973503066693,v101v114
219,0.013994021882788548,v91v30
2353,0.013988576009538874,v50_v93_v61
1929,0.013970651993888618,v36v51
1618,0.013963368727817237,v51v10
1667,0.013957802914760698,v93v34
1641,0.013951279599891526,v93v14
2059,0.013847687446921697,v50_v106_v36
1794,0.013774888129376597,v76v123
1828,0.013739333291345036,v44v12
